algo,blocklist_size,creation_time,creation_mem,test_1_short_time,test_1_short_mem,test_2_medium_time,test_2_medium_mem,test_3_long_time,test_3_long_mem
BruteForce,10,0.0010008811950683594,0.0,0.005999088287353516,0.0,0.016999006271362305,0.0,0.04399609565734863,0.0
Native,10,0.002001523971557617,0.0,0.0019989013671875,0.0,0.0010004043579101562,0.0,0.0010001659393310547,0.0
AC,10,0.010001897811889648,0.01953125,0.011998414993286133,0.0,0.03799915313720703,0.03515625,0.09599709510803223,0.0625
WM,10,0.0030002593994140625,0.0,0.0040018558502197266,0.0,0.006995201110839844,0.00390625,0.01600050926208496,0.0078125
BruteForce,100,0.002003192901611328,0.0,0.041999101638793945,0.0,0.1629953384399414,0.0,0.4139986038208008,0.0
Native,100,0.0009999275207519531,0.0,0.002002239227294922,0.0,0.0019979476928710938,0.0,0.0020017623901367188,0.0
AC,100,0.09099888801574707,0.421875,0.010999917984008789,0.0,0.03800058364868164,0.00390625,0.0969996452331543,0.00390625
WM,100,0.009999990463256836,0.0,0.005997180938720703,0.0,0.014996767044067383,0.0,0.03399991989135742,0.0
BruteForce,1k,0.0010006427764892578,0.0,0.411998987197876,0.0,1.5670459270477295,0.0,4.1349992752075195,0.0
Native,1k,0.002001047134399414,0.0,0.004998445510864258,0.0,0.004999637603759766,0.0,0.0049991607666015625,0.0
AC,1k,0.9529976844787598,5.359375,0.011998891830444336,0.0,0.038999319076538086,0.0,0.10000014305114746,0.00390625
WM,1k,0.045999765396118164,0.05859375,0.018999576568603516,0.0,0.06999921798706055,0.0,0.17799925804138184,0.00390625
BruteForce,10k,0.0019996166229248047,0.0,4.184000253677368,0.0,16.091514587402344,0.0,42.197033405303955,-0.03125
Native,10k,0.0009982585906982422,0.0,0.031000137329101562,0.0,0.03199887275695801,0.0,0.034999847412109375,0.0
AC,10k,8.889999866485596,44.08984375,0.013000965118408203,0.0,0.041001081466674805,0.0078125,0.1009976863861084,0.01171875
WM,10k,0.4539968967437744,0.7734375,0.08699965476989746,0.0234375,0.337998628616333,0.0078125,0.8620004653930664,0.0078125
BruteForce,full,0.0020003318786621094,0.0,22.519513845443726,0.0,87.01782631874084,-0.02734375,229.47532105445862,0.0
Native,full,0.0019998550415039062,0.0,0.15851211547851562,0.0,0.16499924659729004,0.0,0.1789991855621338,0.0
AC,full,45.52506065368652,205.23046875,0.017000198364257812,0.0,0.04600024223327637,0.0,0.10799956321716309,0.00390625
WM,full,2.4869987964630127,5.8984375,0.42799830436706543,0.25,1.6899998188018799,0.00390625,4.269002199172974,0.0390625
BruteForce,wm,0.0009980201721191406,0.0,4.928016901016235,0.0,18.957544803619385,0.0,49.94786286354065,0.0
Native,wm,0.002000093460083008,0.0,0.036002159118652344,0.0,0.03799915313720703,0.0,0.04199934005737305,0.0
AC,wm,5.7529988288879395,17.7734375,0.011999845504760742,0.00390625,0.03999781608581543,0.00390625,0.10199928283691406,0.01171875
WM,wm,0.5299997329711914,-0.85546875,0.13899922370910645,0.05859375,0.5240013599395752,0.00390625,1.3449983596801758,0.00390625
