algo,blocklist_name,enhancement,creation_time,creation_mem,test_1_short_time,test_1_short_mem,test_2_medium_time,test_2_medium_mem,test_3_long_time,test_3_long_mem
BruteForce,10,naive,0.003002166748046875,0.0,0.03400015830993652,0.01171875,0.021999597549438477,0.0078125,0.04900002479553223,0.0078125
BruteForce,10,pinyin,0.05700039863586426,0.04296875,0.04600024223327637,0.0078125,0.12999844551086426,0.00390625,0.4140002727508545,0.00390625
BruteForce,10,radical,0.004001617431640625,0.0078125,0.01800060272216797,0.0078125,0.041001081466674805,0.0,0.09500002861022949,0.0
BruteForce,10,radical_pinyin,0.01097559928894043,0.00390625,0.051999568939208984,0.00390625,0.14800143241882324,0.0,0.4529998302459717,0.00390625
Native,10,naive,0.0029997825622558594,0.0,0.0029997825622558594,0.0,0.003999471664428711,0.0,0.003999948501586914,0.0
Native,10,pinyin,0.012000560760498047,0.00390625,0.0069997310638427734,0.0,0.006999969482421875,0.0,0.009000062942504883,0.0
Native,10,radical,0.003000020980834961,0.00390625,0.0029997825622558594,0.0,0.003999948501586914,0.0,0.0040013790130615234,0.0
Native,10,radical_pinyin,0.013001441955566406,0.00390625,0.007001161575317383,0.0,0.006999969482421875,0.0,0.010000228881835938,0.00390625
AC,10,naive,0.00500035285949707,0.00390625,0.003998994827270508,0.0,0.00999903678894043,0.0,0.01799941062927246,0.0
AC,10,pinyin,0.013000011444091797,0.01953125,0.017999887466430664,0.0,0.048999786376953125,0.0,0.1420001983642578,0.078125
AC,10,radical,0.00500035285949707,0.00390625,0.0070002079010009766,0.0,0.016000032424926758,0.0,0.03399944305419922,0.00390625
AC,10,radical_pinyin,0.013000965118408203,0.00390625,0.019999980926513672,0.0,0.05499982833862305,0.0,0.1569986343383789,0.0
WM,10,naive,0.003000020980834961,0.0,0.003000020980834961,0.0,0.004998922348022461,0.0,0.007994890213012695,0.0
WM,10,pinyin,0.012000083923339844,0.00390625,0.009999275207519531,0.0,0.01699995994567871,0.0,0.04400014877319336,0.0
WM,10,radical,0.0029997825622558594,0.0,0.003998517990112305,0.0,0.0069997310638427734,0.0,0.01199960708618164,0.00390625
WM,10,radical_pinyin,0.012001276016235352,0.0,0.009999990463256836,0.0,0.020000457763671875,0.0625,0.04900193214416504,0.0
BruteForce,100,naive,0.003999948501586914,0.0,0.056999921798706055,0.0,0.17599821090698242,0.00390625,0.4550001621246338,0.0
BruteForce,100,pinyin,0.12100028991699219,1.03515625,2.260000228881836,0.0234375,7.9340009689331055,0.0078125,21.57936191558838,0.47265625
BruteForce,100,radical,0.004999876022338867,0.03125,0.11900019645690918,0.0,0.35200023651123047,0.0,0.8699996471405029,0.0
BruteForce,100,radical_pinyin,0.12099981307983398,0.11328125,2.2390003204345703,0.0,8.023999691009521,0.0,21.993000030517578,-0.0546875
Native,100,naive,0.0029997825622558594,0.0,0.002999544143676758,0.0,0.004000186920166016,0.0,0.003999948501586914,0.0
Native,100,pinyin,0.11699986457824707,0.0,0.019999980926513672,0.0,0.023999929428100586,0.0,0.03399920463562012,0.0625
Native,100,radical,0.006000041961669922,0.0,0.004000425338745117,0.0,0.005000114440917969,0.0,0.006000995635986328,0.0
Native,100,radical_pinyin,0.11800026893615723,0.0,0.021001577377319336,0.0,0.02400064468383789,0.0,0.03699994087219238,0.0
AC,100,naive,0.021999359130859375,0.04296875,0.006000518798828125,0.0,0.011002779006958008,0.0,0.021000146865844727,0.01953125
AC,100,pinyin,0.13499999046325684,0.4609375,0.08800005912780762,0.0,0.3020007610321045,0.0,0.8339998722076416,0.0390625
AC,100,radical,0.02600264549255371,0.2890625,0.006998538970947266,0.0,0.01900005340576172,0.0,0.03900027275085449,0.0
AC,100,radical_pinyin,0.13900017738342285,0.015625,0.09099960327148438,0.0,0.3099992275238037,0.0,0.8549997806549072,0.0
WM,100,naive,0.005000114440917969,0.0,0.004000425338745117,0.00390625,0.007001161575317383,0.0,0.012999773025512695,0.0
WM,100,pinyin,0.12000131607055664,0.0,0.05200028419494629,0.0,0.16499924659729004,0.0,0.446000337600708,0.0
WM,100,radical,0.009000539779663086,0.0,0.0060002803802490234,0.0,0.0110015869140625,0.0,0.024000167846679688,0.0
WM,100,radical_pinyin,0.12099933624267578,0.0,0.052999258041381836,0.0,0.17100000381469727,0.0,0.45800018310546875,0.0
BruteForce,1k,naive,0.003999948501586914,0.0,0.5429999828338623,0.0,1.7469995021820068,0.0,4.360000133514404,0.0
BruteForce,1k,radical,0.03399991989135742,0.0,1.0701055526733398,0.0,5.147000312805176,0.0,13.25300121307373,0.0
Native,1k,naive,0.0030007362365722656,0.0,0.006000041961669922,0.0,0.0070002079010009766,0.0,0.008001327514648438,0.0
Native,1k,radical,0.031999826431274414,0.0,0.014999628067016602,0.0,0.018007516860961914,0.0,0.021000385284423828,0.0
AC,1k,naive,0.23600006103515625,1.8984375,0.004999876022338867,0.0,0.010999441146850586,0.0,0.021998882293701172,0.0
AC,1k,radical,0.23099970817565918,5.2421875,0.012999534606933594,0.0,0.03002476692199707,0.0,0.0670011043548584,0.0625
WM,1k,naive,0.023000717163085938,0.1015625,0.008000612258911133,0.0,0.021999835968017578,0.0,0.05200028419494629,0.015625
WM,1k,radical,0.04999995231628418,0.03515625,0.020004749298095703,0.0,0.06699919700622559,0.0,0.15399980545043945,0.0
BruteForce,10k,naive,0.0020012855529785156,0.0,5.516999006271362,0.0,17.675999879837036,0.0,44.791130781173706,-0.03125
BruteForce,10k,radical,0.29799985885620117,0.00390625,10.789999723434448,0.00390625,53.010512828826904,0.0,130.7009174823761,0.015625
Native,10k,naive,0.0030007362365722656,0.0,0.03099966049194336,0.0,0.03299975395202637,0.0,0.03599977493286133,0.0
Native,10k,radical,0.29200005531311035,0.0,0.0709998607635498,0.0,0.10599994659423828,0.0,0.11400055885314941,0.0
AC,10k,naive,1.8969995975494385,40.28515625,0.006000041961669922,0.0,0.01100015640258789,0.0,0.02499842643737793,0.0078125
AC,10k,radical,2.1945135593414307,45.1640625,0.020000219345092773,0.1328125,0.03799915313720703,0.0,0.07800030708312988,0.05859375
WM,10k,naive,0.18499970436096191,0.4609375,0.026000499725341797,0.0,0.09099912643432617,0.0,0.22600054740905762,0.00390625
WM,10k,radical,0.44699978828430176,0.59765625,0.06000041961669922,0.0,0.2780005931854248,0.0,0.687999963760376,0.00390625
BruteForce,full,naive,0.0029866695404052734,0.0,28.872079133987427,-0.015625,93.85636520385742,0.0,236.6726644039154,0.0
Native,full,naive,0.0019996166229248047,0.0,0.1620028018951416,0.0,0.1639997959136963,0.0,0.1790010929107666,0.0
AC,full,naive,10.058512926101685,202.27734375,0.009999752044677734,0.0,0.016000032424926758,0.0,0.0280001163482666,0.00390625
