algo,blocklist_name,enhancement,creation_time,creation_mem,test_1_short_time,test_1_short_mem,test_2_medium_time,test_2_medium_mem,test_3_long_time,test_3_long_mem
BruteForce,10,naive,0.003000497817993164,0.0,0.03399801254272461,0.0,0.018999338150024414,0.0078125,0.04000043869018555,0.00390625
BruteForce,10,pinyin,0.05600118637084961,0.02734375,0.2559993267059326,0.00390625,0.4779980182647705,0.00390625,4.693999767303467,0.41015625
BruteForce,10,radical,0.0030002593994140625,0.0078125,0.03799724578857422,0.0078125,0.0839998722076416,0.0,0.3469979763031006,0.0
BruteForce,10,radical_pinyin,0.011000871658325195,0.0078125,0.2759976387023926,0.0078125,0.5280005931854248,0.0,5.028997898101807,0.04296875
Native,10,naive,0.0030014514923095703,0.0,0.00299835205078125,0.0,0.004998683929443359,0.0,0.003999948501586914,0.0
Native,10,pinyin,0.01100015640258789,0.0,0.008998870849609375,0.00390625,0.009998559951782227,0.0,0.02799844741821289,0.0
Native,10,radical,0.004001140594482422,0.0,0.0040018558502197266,0.00390625,0.0039997100830078125,0.0,0.0060007572174072266,0.0
Native,10,radical_pinyin,0.012000560760498047,0.0,0.008998632431030273,0.0,0.00999903678894043,0.00390625,0.028999805450439453,0.0
AC,10,naive,0.004001140594482422,0.00390625,0.006002187728881836,0.0,0.007999897003173828,0.0,0.01299905776977539,0.0
AC,10,pinyin,0.01199960708618164,0.0,0.07699871063232422,0.0,0.1380000114440918,0.0,1.3739995956420898,0.05078125
AC,10,radical,0.00500035285949707,0.015625,0.012998580932617188,0.0,0.028001070022583008,0.0,0.10199999809265137,0.0
AC,10,radical_pinyin,0.01299905776977539,0.0078125,0.08800005912780762,0.0,0.1589972972869873,0.00390625,1.4250025749206543,0.0078125
WM,10,naive,0.003998994827270508,0.0,0.002997875213623047,0.0,0.00500178337097168,0.0,0.006999969482421875,0.0
WM,10,pinyin,0.012000322341918945,0.0,0.023001909255981445,0.0,0.03599953651428223,0.0,0.28800129890441895,0.0
WM,10,radical,0.004000663757324219,0.0,0.005000114440917969,0.0,0.00900125503540039,0.0,0.024998903274536133,0.0
WM,10,radical_pinyin,0.011999368667602539,0.0,0.025002241134643555,0.0,0.040000200271606445,0.0,0.30700111389160156,0.0
BruteForce,100,naive,0.003000020980834961,0.0,0.0839996337890625,0.0,0.16199827194213867,0.0,0.341998815536499,0.0
BruteForce,100,pinyin,0.08299994468688965,0.390625,5.95000147819519,0.01171875,16.87199854850769,0.10546875,91.63600206375122,0.28515625
BruteForce,100,radical,0.006000995635986328,0.04296875,0.3940012454986572,0.0,0.7850008010864258,0.0,3.4170000553131104,-0.03125
BruteForce,100,radical_pinyin,0.09100055694580078,0.234375,6.230999946594238,0.0,17.522998332977295,0.0,94.39799976348877,0.13671875
Native,100,naive,0.0029981136322021484,0.0,0.002999544143676758,0.0,0.004998922348022461,0.0,0.004001140594482422,0.0
Native,100,pinyin,0.0840001106262207,0.0,0.031000137329101562,0.0,0.04399991035461426,0.0,0.12300252914428711,0.0
Native,100,radical,0.004999637603759766,0.0,0.007002115249633789,0.0,0.00599980354309082,0.0,0.009000301361083984,0.0
Native,100,radical_pinyin,0.08499860763549805,0.0,0.03300070762634277,0.0,0.04600095748901367,0.0,0.12399721145629883,0.0
AC,100,naive,0.020000219345092773,0.04296875,0.005998134613037109,0.0,0.008998870849609375,0.0,0.016000747680664062,0.0
AC,100,pinyin,0.10400104522705078,0.08984375,0.21499919891357422,0.0,0.6050004959106445,0.0,3.1629998683929443,0.07421875
AC,100,radical,0.02600693702697754,0.44921875,0.018000125885009766,0.0,0.03299999237060547,0.0,0.12400126457214355,0.0
AC,100,radical_pinyin,0.10699963569641113,0.02734375,0.23200035095214844,0.0,0.6389980316162109,0.0,3.317000150680542,0.015625
WM,100,naive,0.005001068115234375,0.0,0.0050008296966552734,0.0,0.007999420166015625,0.0,0.01099848747253418,0.0
WM,100,pinyin,0.0859994888305664,0.0,0.1270003318786621,0.0,0.33899736404418945,0.0,1.692000389099121,0.03515625
WM,100,radical,0.007998943328857422,0.0,0.012000083923339844,0.0,0.018999576568603516,0.0,0.06899905204772949,0.0
